,feature,diff,diff_preds,Method1
2195,409606211,0.059179902076721184,1.0,0.059179902076721184
1276,74606211,0.036668062210083015,1.0,0.036668062210083015
1081,67434504,0.03246736526489258,1.0,0.03246736526489258
982,54817525,0.029130458831787113,1.0,0.029130458831787113
2744,10019055302,0.027497529983520508,1.0,0.027497529983520508
1011,54858516,0.02303314208984375,1.0,0.02303314208984375
1306,74706811,0.021104693412780758,1.0,0.021104693412780758
845,45006701,0.020763158798217773,1.0,0.020763158798217773
392,228125,0.018433451652526852,1.0,0.018433451652526852
3820,63323016501,0.018042922019958496,1.0,0.018042922019958496
3557,58177025504,0.017743468284606934,1.0,0.017743468284606934
3283,51479005520,0.017002105712890625,1.0,0.017002105712890625
3070,51079007520,0.016991138458251953,1.0,0.016991138458251953
2110,406112101,0.016946792602539062,1.0,0.016946792602539062
3567,58468002101,0.01575601100921631,1.0,0.01575601100921631
2547,781155613,0.015732884407043457,1.0,0.015732884407043457
301,224270,0.015581965446472168,1.0,0.015581965446472168
1915,245021201,0.015552759170532228,1.0,0.015552759170532228
3076,51079008620,0.015027403831481934,1.0,0.015027403831481934
2988,50383068304,0.014789223670959473,1.0,0.014789223670959473
3841,63323030201,0.014512062072753906,1.0,0.014512062072753906
119,51003,0.014328479766845703,1.0,0.014328479766845703
2705,8489800001,0.014224529266357422,1.0,0.014224529266357422
157,51148,0.014193177223205566,1.0,0.014193177223205566
2148,409176230,0.01418912410736084,1.0,0.01418912410736084
3786,62756051344,0.01417243480682373,1.0,0.01417243480682373
312,225202,0.014058351516723631,1.0,0.014058351516723631
411,2411260,0.01381516456604004,1.0,0.01381516456604004
3742,61703022521,0.013644099235534668,1.0,0.013644099235534668
3204,51079075620,0.01357126235961914,1.0,0.01357126235961914
2736,10019017644,0.013420343399047852,1.0,0.013420343399047852
4065,87701071218,0.013408660888671877,1.0,0.013408660888671877
2428,597007506,0.013315320014953613,1.0,0.013315320014953613
2190,409491134,0.01314854621887207,1.0,0.01314854621887207
1426,83000730,0.013004064559936523,1.0,0.013004064559936523
3812,63323010510,0.012967228889465332,1.0,0.012967228889465332
1635,149075215,0.012811779975891113,1.0,0.012811779975891113
3517,55513053010,0.0127028226852417,1.0,0.0127028226852417
809,32121201,0.012589812278747559,1.0,0.012589812278747559
1444,85061305,0.012380599975585938,1.0,0.012380599975585938
2156,409217205,0.01234424114227295,1.0,0.01234424114227295
4020,68084024711,0.012337565422058105,1.0,0.012337565422058105
2521,731040106,0.012197613716125488,1.0,0.012197613716125488
26,50868,0.011955976486206056,1.0,0.011955976486206056
8,50813,0.011908173561096191,1.0,0.011908173561096191
1644,168000715,0.011646628379821777,1.0,0.011646628379821777
3842,63323031110,0.01160120964050293,1.0,0.01160120964050293
983,54817625,0.011452913284301758,1.0,0.011452913284301758
3725,61553019648,0.01122760772705078,1.0,0.01122760772705078
2359,548604325,0.011145472526550293,1.0,0.011145472526550293
2430,597007575,0.010993599891662598,1.0,0.010993599891662598
2947,49669521303,0.010950565338134766,1.0,0.010950565338134766
1578,121048910,0.010782599449157715,1.0,0.010782599449157715
3353,54092000301,0.010597825050354004,1.0,0.010597825050354004
591,7440701,0.010547876358032228,1.0,0.010547876358032228
2045,338114403,0.010504484176635742,1.0,0.010504484176635742
589,7414020,0.010395407676696777,1.0,0.010395407676696777
139,51120,0.01033639907836914,1.0,0.01033639907836914
2618,904322035,0.01030898094177246,1.0,0.01030898094177246
394,228127,0.010271668434143066,1.0,0.010271668434143066
395,228128,0.010268926620483398,1.0,0.010268926620483398
1330,74915801,0.009977459907531738,1.0,0.009977459907531738
3468,55390007310,0.009818315505981444,1.0,0.009818315505981444
2116,406833062,0.009759902954101562,1.0,0.009759902954101562
52,50908,0.009758710861206056,1.0,0.009758710861206056
1028,54881611,0.009595751762390137,1.0,0.009595751762390137
1475,87058011,0.009457707405090332,1.0,0.009457707405090332
1887,206845216,0.009419560432434082,1.0,0.009419560432434082
1128,71080340,0.009370684623718262,1.0,0.009370684623718262
1778,173069602,0.009301185607910156,1.0,0.009301185607910156
